study,scenario_id,p,n1,n2,n1_over_n2,family,rho0,rho_alt,design,alternative,innovation,method,alpha,B,R,rejection_rate,mean_p_value,mean_statistic,median_statistic,mean_elapsed_sec,MCSE
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_90_60_rho0p5,200,90,60,1.5,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.049,0.4482228588205419,-11.926078986160208,-366.719864574257,0.0018601418018806726,0.006826346021115542
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_120_60_rho0p5,100,120,60,2.0,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.094,0.5112862778528073,-0.024962834286402072,-0.05118562780611198,0.000599223802331835,0.009228434320078352
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_120_60_rho0p5,100,120,60,2.0,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.019,0.54691,3.6505209620334194,3.595629564400041,0.07465122279908974,0.004317290817167636
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_120_60_rho0p5,100,120,60,2.0,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.067,0.39741000000000004,1.059606325134315,0.970419746119001,0.08119573850056622,0.007906389820898032
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_120_60_rho0p5,100,120,60,2.0,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.068,0.437632,1.0697566273651016,0.8405751303498723,0.08119970940146595,0.007960904471226871
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_120_60_rho0p5,100,120,60,2.0,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.066,0.463652,1.0705143449356227,0.6939285201264411,0.08048571660090238,0.007851369307324678
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_120_60_rho0p5,100,120,60,2.0,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-I,0.05,500,1000,0.0,0.36267200000000005,1.0430826833860507,1.0433961118250772,0.08081321049842517,0.0
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_120_60_rho0p5,100,120,60,2.0,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.0,0.41011242150408345,4.30554544501782,4.0043209533636315,0.001522481600753963,0.0
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_180_60_rho0p5,100,180,60,3.0,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.083,0.5054246499056012,-0.009440597985934112,-0.051170057660875935,0.0007652532000793144,0.008724161850859944
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_180_60_rho0p5,100,180,60,3.0,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.046,0.460266,3.748591793782614,3.7030251953363393,0.0822224963986082,0.006624499981130651
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_180_60_rho0p5,100,180,60,3.0,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.091,0.377378,1.0991890057863538,0.9909035311475072,0.08794009060051758,0.009094998625618368
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_180_60_rho0p5,100,180,60,3.0,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.093,0.41861000000000004,1.1411967716664038,0.8735768086595852,0.08765460899996105,0.009184280047995052
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_180_60_rho0p5,100,180,60,3.0,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.085,0.45061,1.1671379198692076,0.717769743016484,0.08731317299581133,0.008819013550278738
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_180_60_rho0p5,100,180,60,3.0,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-I,0.05,500,1000,0.0,0.33538799999999996,1.0555132064120176,1.0564440069820042,0.08715608200524003,0.0
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_180_60_rho0p5,100,180,60,3.0,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.0,0.40499336144794507,3.9152722018884734,3.3911827873720313,0.0023272798003163187,0.0
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_300_60_rho0p5,100,300,60,5.0,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.087,0.5102953138508726,-0.01621742995496594,-0.012557097095780876,0.0022996256984770297,0.00891240708226459
