p,n1,n2,innovation,covariance family,rho,method,R,empirical size,MCSE
100,120,60,laplace,equicorrelation,0.5,Ours-C(0.3),1000,0.068,0.007960904471226871
100,120,60,laplace,equicorrelation,0.5,Ours-C(0.5),1000,0.064,0.007739767438366608
100,120,60,laplace,equicorrelation,0.5,Ours-C(0.7),1000,0.064,0.007739767438366608
100,120,60,laplace,equicorrelation,0.5,Ours-I,1000,0.062,0.007626008130076967
100,120,60,laplace,equicorrelation,0.5,Wang-NR,1000,0.049,0.006826346021115542
100,180,60,laplace,equicorrelation,0.5,Li-Chen,1000,0.157,0.01150439046625244
100,180,60,laplace,equicorrelation,0.5,Max-bootstrap,1000,0.194,0.012504559168559283
100,180,60,laplace,equicorrelation,0.5,Ours-C(0.3),1000,0.102,0.009570579919733181
100,180,60,laplace,equicorrelation,0.5,Ours-C(0.5),1000,0.11,0.009894442884771228
100,180,60,laplace,equicorrelation,0.5,Ours-C(0.7),1000,0.101,0.009528850927577786
100,180,60,laplace,equicorrelation,0.5,Ours-I,1000,0.112,0.00997276290703835
100,180,60,laplace,equicorrelation,0.5,Wang-NR,1000,0.085,0.008819013550278738
100,300,60,laplace,equicorrelation,0.5,Li-Chen,1000,0.138,0.01090669519148674
100,300,60,laplace,equicorrelation,0.5,Max-bootstrap,1000,0.308,0.014599178059055242
100,300,60,laplace,equicorrelation,0.5,Ours-C(0.3),1000,0.105,0.009694070352540258
100,300,60,laplace,equicorrelation,0.5,Ours-C(0.5),1000,0.105,0.009694070352540258
100,300,60,laplace,equicorrelation,0.5,Ours-C(0.7),1000,0.097,0.00935900635751467
100,300,60,laplace,equicorrelation,0.5,Ours-I,1000,0.1,0.009486832980505138
100,300,60,laplace,equicorrelation,0.5,Wang-NR,1000,0.076,0.008379976133617566
100,90,60,laplace,equicorrelation,0.5,Li-Chen,1000,0.119,0.010239091756596383
100,90,60,laplace,equicorrelation,0.5,Max-bootstrap,1000,0.051,0.00695693898205238
100,90,60,laplace,equicorrelation,0.5,Ours-C(0.3),1000,0.05,0.006892024376045111
100,90,60,laplace,equicorrelation,0.5,Ours-C(0.5),1000,0.052,0.007021111023192838
100,90,60,laplace,equicorrelation,0.5,Ours-C(0.7),1000,0.05,0.006892024376045111
100,90,60,laplace,equicorrelation,0.5,Ours-I,1000,0.051,0.00695693898205238
100,90,60,laplace,equicorrelation,0.5,Wang-NR,1000,0.041,0.006270486424512854
200,120,60,laplace,equicorrelation,0.5,Li-Chen,1000,0.114,0.010050074626588601
200,120,60,laplace,equicorrelation,0.5,Max-bootstrap,1000,0.094,0.009228434320078352
200,120,60,laplace,equicorrelation,0.5,Ours-C(0.3),1000,0.059,0.007451107300260815
200,120,60,laplace,equicorrelation,0.5,Ours-C(0.5),1000,0.062,0.007626008130076967
200,120,60,laplace,equicorrelation,0.5,Ours-C(0.7),1000,0.062,0.007626008130076967
200,120,60,laplace,equicorrelation,0.5,Ours-I,1000,0.061,0.0075682891065286355
200,120,60,laplace,equicorrelation,0.5,Wang-NR,1000,0.053,0.00708456067798138
200,180,60,laplace,equicorrelation,0.5,Li-Chen,1000,0.147,0.011197812286335219
200,180,60,laplace,equicorrelation,0.5,Max-bootstrap,1000,0.19,0.012405643876881199
200,180,60,laplace,equicorrelation,0.5,Ours-C(0.3),1000,0.1,0.009486832980505138
200,180,60,laplace,equicorrelation,0.5,Ours-C(0.5),1000,0.096,0.009315793041926168
200,180,60,laplace,equicorrelation,0.5,Ours-C(0.7),1000,0.091,0.009094998625618368
200,180,60,laplace,equicorrelation,0.5,Ours-I,1000,0.096,0.009315793041926168
200,180,60,laplace,equicorrelation,0.5,Wang-NR,1000,0.069,0.008014923580421713
200,300,60,laplace,equicorrelation,0.5,Li-Chen,1000,0.15,0.011291589790636216
200,300,60,laplace,equicorrelation,0.5,Max-bootstrap,1000,0.324,0.014799459449588015
200,300,60,laplace,equicorrelation,0.5,Ours-C(0.3),1000,0.112,0.00997276290703835
200,300,60,laplace,equicorrelation,0.5,Ours-C(0.5),1000,0.105,0.009694070352540258
200,300,60,laplace,equicorrelation,0.5,Ours-C(0.7),1000,0.101,0.009528850927577786
200,300,60,laplace,equicorrelation,0.5,Ours-I,1000,0.111,0.00993373041711924
200,300,60,laplace,equicorrelation,0.5,Wang-NR,1000,0.077,0.00843036179532053
200,90,60,laplace,equicorrelation,0.5,Li-Chen,1000,0.128,0.010564847372300274
200,90,60,laplace,equicorrelation,0.5,Max-bootstrap,1000,0.074,0.00827792244467173
200,90,60,laplace,equicorrelation,0.5,Ours-C(0.3),1000,0.06,0.007509993342207435
200,90,60,laplace,equicorrelation,0.5,Ours-C(0.5),1000,0.05,0.006892024376045111
200,90,60,laplace,equicorrelation,0.5,Ours-C(0.7),1000,0.052,0.007021111023192838
200,90,60,laplace,equicorrelation,0.5,Ours-I,1000,0.052,0.007021111023192838
200,90,60,laplace,equicorrelation,0.5,Wang-NR,1000,0.048,0.006759881655768835
100,120,60,laplace,toeplitz,0.5,Li-Chen,1000,0.067,0.007906389820898032
100,120,60,laplace,toeplitz,0.5,Max-bootstrap,1000,0.048,0.006759881655768835
100,120,60,laplace,toeplitz,0.5,Ours-C(0.3),1000,0.054,0.007147307185227175
100,120,60,laplace,toeplitz,0.5,Ours-C(0.5),1000,0.052,0.007021111023192838
100,120,60,laplace,toeplitz,0.5,Ours-C(0.7),1000,0.05,0.006892024376045111
100,120,60,laplace,toeplitz,0.5,Ours-I,1000,0.0,0.0
100,120,60,laplace,toeplitz,0.5,Wang-NR,1000,0.002,0.0014127986409959489
100,180,60,laplace,toeplitz,0.5,Li-Chen,1000,0.069,0.008014923580421713
100,180,60,laplace,toeplitz,0.5,Max-bootstrap,1000,0.061,0.0075682891065286355
100,180,60,laplace,toeplitz,0.5,Ours-C(0.3),1000,0.091,0.009094998625618368
100,180,60,laplace,toeplitz,0.5,Ours-C(0.5),1000,0.088,0.008958571314668427
100,180,60,laplace,toeplitz,0.5,Ours-C(0.7),1000,0.082,0.008676174272108648
100,180,60,laplace,toeplitz,0.5,Ours-I,1000,0.0,0.0
100,180,60,laplace,toeplitz,0.5,Wang-NR,1000,0.002,0.0014127986409959489
100,300,60,laplace,toeplitz,0.5,Li-Chen,1000,0.074,0.00827792244467173
100,300,60,laplace,toeplitz,0.5,Max-bootstrap,1000,0.197,0.012577400367325514
100,300,60,laplace,toeplitz,0.5,Ours-C(0.3),1000,0.094,0.009228434320078352
100,300,60,laplace,toeplitz,0.5,Ours-C(0.5),1000,0.093,0.009184280047995052
100,300,60,laplace,toeplitz,0.5,Ours-C(0.7),1000,0.084,0.008771772910877254
100,300,60,laplace,toeplitz,0.5,Ours-I,1000,0.0,0.0
100,300,60,laplace,toeplitz,0.5,Wang-NR,1000,0.0,0.0
100,90,60,laplace,toeplitz,0.5,Li-Chen,1000,0.054,0.007147307185227175
100,90,60,laplace,toeplitz,0.5,Max-bootstrap,1000,0.045,0.0065555320150236475
100,90,60,laplace,toeplitz,0.5,Ours-C(0.3),1000,0.063,0.007683163410991596
100,90,60,laplace,toeplitz,0.5,Ours-C(0.5),1000,0.063,0.007683163410991596
