study,scenario_id,p,n1,n2,n1_over_n2,family,rho0,rho_alt,design,alternative,innovation,method,alpha,B,R,rejection_rate,mean_p_value,mean_statistic,median_statistic,mean_elapsed_sec,MCSE,block_size,high_variance,rho_block
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p35,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.35,studentized_low_variance_dense_block_search,alternative,gaussian,Max-bootstrap,0.05,500,500,1.0,0.000296,6.069174171566524,6.064143974051921,0.3777548243980855,0.0,80,25.0,0.35
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p35,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.35,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-C(0.3),0.05,500,500,0.974,0.005,3.0623369873088397,2.974739817958048,0.399863513001008,0.007116740827092135,80,25.0,0.35
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p35,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.35,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-C(0.5),0.05,500,500,0.98,0.004936,5.995264861770182,5.764103672528665,0.40021305020083675,0.006260990336999414,80,25.0,0.35
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p35,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.35,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-C(0.7),0.05,500,500,0.978,0.005503999999999999,9.234600540524054,8.858449024675583,0.3987281826017424,0.006559878047646925,80,25.0,0.35
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p35,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.35,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-I,0.05,500,500,1.0,0.0,2.261022557221008,2.2422564784222527,0.3985501957989763,0.0,80,25.0,0.35
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p35,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.35,studentized_low_variance_dense_block_search,alternative,gaussian,Raw-L2,0.05,500,500,0.0,0.405796,240.6364024704073,239.96955126262463,0.37356520200078375,0.0,80,25.0,0.35
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p35,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.35,studentized_low_variance_dense_block_search,alternative,gaussian,Wang-NR,0.05,0,500,0.016,0.3573580329929173,1612.9764278709204,1582.2441343447354,0.003758544600568712,0.005611416933360059,80,25.0,0.35
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p4,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.4,studentized_low_variance_dense_block_search,alternative,gaussian,Li-Chen,0.05,0,500,0.102,0.3940153363954102,0.3866290484565262,0.3922472923765464,0.0016838814010843636,0.013534843922262273,80,25.0,0.4
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p4,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.4,studentized_low_variance_dense_block_search,alternative,gaussian,Max-bootstrap,0.05,500,500,1.0,5.6e-05,6.407462978215721,6.387735899492281,0.38456936020147986,0.0,80,25.0,0.4
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p4,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.4,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-C(0.3),0.05,500,500,0.986,0.004716000000000001,3.1533323283389123,3.0841006192631863,0.4034081855979748,0.0052543315464481325,80,25.0,0.4
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p4,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.4,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-C(0.5),0.05,500,500,0.978,0.005,6.2016101822838605,6.032034695196844,0.4035980124040507,0.006559878047646925,80,25.0,0.4
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p4,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.4,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-C(0.7),0.05,500,500,0.984,0.00528,9.541733601261138,9.19401078262529,0.40323854820174165,0.00561141693336006,80,25.0,0.4
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p4,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.4,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-I,0.05,500,500,1.0,0.0,2.6147136537984723,2.5855044676801175,0.4041229140011128,0.0,80,25.0,0.4
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p4,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.4,studentized_low_variance_dense_block_search,alternative,gaussian,Raw-L2,0.05,500,500,0.0,0.395884,241.28048763230086,241.10002382993306,0.3800442008005921,0.0,80,25.0,0.4
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p4,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.4,studentized_low_variance_dense_block_search,alternative,gaussian,Wang-NR,0.05,0,500,0.028,0.3263635822828082,1970.5584540574273,1965.921803029476,0.0049601402012631295,0.007377804551490911,80,25.0,0.4
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p5,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.5,studentized_low_variance_dense_block_search,alternative,gaussian,Li-Chen,0.05,0,500,0.154,0.30635117167783543,0.7041663656241988,0.7199577599772151,0.0012760994033887982,0.01614211882003103,80,25.0,0.5
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p5,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.5,studentized_low_variance_dense_block_search,alternative,gaussian,Max-bootstrap,0.05,500,500,1.0,4e-06,7.007200178879762,6.974699151432528,0.3741441687978804,0.0,80,25.0,0.5
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p5,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.5,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-C(0.3),0.05,500,500,0.984,0.0032839999999999996,3.34480853227457,3.282292932624255,0.3973309058037121,0.00561141693336006,80,25.0,0.5
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p5,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.5,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-C(0.5),0.05,500,500,0.982,0.00316,6.673101553414418,6.6151212901912535,0.3968436079998501,0.005945754788082,80,25.0,0.5
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p5,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.5,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-C(0.7),0.05,500,500,0.986,0.00332,10.315207183797686,10.135612586579686,0.3957887388046365,0.0052543315464481325,80,25.0,0.5
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p5,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.5,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-I,0.05,500,500,1.0,0.0,3.4113209306945427,3.4124223211115545,0.39757233479921705,0.0,80,25.0,0.5
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p5,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.5,studentized_low_variance_dense_block_search,alternative,gaussian,Raw-L2,0.05,500,500,0.0,0.37775600000000004,242.61288415001255,242.44308911164256,0.37234262660052625,0.0,80,25.0,0.5
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p5,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.5,studentized_low_variance_dense_block_search,alternative,gaussian,Wang-NR,0.05,0,500,0.042,0.2700792905250179,2691.2462694969736,2704.6020475402947,0.003989386403234676,0.008970618707759236,80,25.0,0.5
