p,n1,n2,innovation,covariance family,rho,method,R,empirical size,MCSE
200,60,60,gaussian,toeplitz,0.9,Max-bootstrap,1000,0.076,0.008379976133617566
200,60,60,gaussian,toeplitz,0.9,Ours-C(0.3),1000,0.054,0.007147307185227175
200,60,60,gaussian,toeplitz,0.9,Ours-C(0.5),1000,0.056,0.007270763371201128
200,60,60,gaussian,toeplitz,0.9,Ours-C(0.7),1000,0.057,0.007331507348424334
200,60,60,gaussian,toeplitz,0.9,Ours-I,1000,0.011,0.003298332912245215
200,60,60,gaussian,toeplitz,0.9,Wang-NR,1000,0.025,0.0049371044145328745
100,60,60,laplace,equicorrelation,0.1,Li-Chen,1000,0.085,0.008819013550278738
100,60,60,laplace,equicorrelation,0.1,Max-bootstrap,1000,0.023,0.004740358636221525
100,60,60,laplace,equicorrelation,0.1,Ours-C(0.3),1000,0.048,0.006759881655768835
100,60,60,laplace,equicorrelation,0.1,Ours-C(0.5),1000,0.062,0.007626008130076967
100,60,60,laplace,equicorrelation,0.1,Ours-C(0.7),1000,0.058,0.007391616873188166
100,60,60,laplace,equicorrelation,0.1,Ours-I,1000,0.003,0.001729450779872038
100,60,60,laplace,equicorrelation,0.1,Wang-NR,1000,0.016,0.003967870965643918
100,60,60,laplace,equicorrelation,0.5,Li-Chen,1000,0.135,0.010806248192596726
100,60,60,laplace,equicorrelation,0.5,Max-bootstrap,1000,0.048,0.006759881655768835
100,60,60,laplace,equicorrelation,0.5,Ours-C(0.3),1000,0.053,0.00708456067798138
100,60,60,laplace,equicorrelation,0.5,Ours-C(0.5),1000,0.06,0.007509993342207435
100,60,60,laplace,equicorrelation,0.5,Ours-C(0.7),1000,0.06,0.007509993342207435
100,60,60,laplace,equicorrelation,0.5,Ours-I,1000,0.062,0.007626008130076967
100,60,60,laplace,equicorrelation,0.5,Wang-NR,1000,0.055,0.00720936890441875
100,60,60,laplace,equicorrelation,0.9,Li-Chen,1000,0.182,0.012201475320632338
100,60,60,laplace,equicorrelation,0.9,Max-bootstrap,1000,0.045,0.0065555320150236475
100,60,60,laplace,equicorrelation,0.9,Ours-C(0.3),1000,0.04,0.0061967733539318665
100,60,60,laplace,equicorrelation,0.9,Ours-C(0.5),1000,0.044,0.006485676526007136
100,60,60,laplace,equicorrelation,0.9,Ours-C(0.7),1000,0.044,0.006485676526007136
100,60,60,laplace,equicorrelation,0.9,Ours-I,1000,0.047,0.006692607862410586
